#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced;Balanced war strategy;Stratégie de guerre équilibrée;Ausgewogene Kriegsstrategie;;Estrategia equilibrada de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced_desc;This character has opted for a balanced war strategy, conferring no benefits or penalties.;Ce personnage a opté pour une stratégie de guerre équilibrée, ne conférant aucun avantage ni pénalité.;Dieser Charakter hat sich für eine ausgewogene Kriegsstrategie entschieden, die keine Vorteile oder Strafen verleiht.;;Este personaje ha optado por una estrategia de guerra equilibrada, que no otorga beneficios ni sanciones.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack;Assault war strategy;Stratégie de guerre d'assaut;Angriffskriegsstrategie;;Estrategia de guerra de asalto;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack_desc;The artillery is readied, the garrisons left lightly armoured, and the men have been outfitted with heavy weaponry and drilled in the charge. This character clearly means to attack their opponents head on.;Les hommes ont été équipés d'armes lourdes, favorisant les cuirasses et les faunes sur l'armure arrière, et les moteurs de siège sont préparés. Ce personnage signifie clairement attaquer leurs adversaires en tête.;Die Männer sind mit schweren Waffen ausgestattet, begünstigen Kürassiere und Fappen über die Rückenpanzerung, und die Belagerungsmotoren sind vorbereitet. Dieser Charakter bedeutet eindeutig, um ihre Gegner anzugreifen.;;Los hombres han sido equipados con armamento pesado, favoreciendo las corazas y faulds sobre la armadura trasera, y los motores del asedio se preparan. Este personaje claramente significa atacar a sus oponentes de frente.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend;Defend war strategy;Stratégie de guerre défensive;Defensive Kriegsstrategie;;Estrategia de guerra defensiva;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend_desc;This character has called for trenches to be built, holdfasts to be made strong and men to stand fast. The enemy are most unwelcome on their land.;Ce personnage a ordonné que les holdfasts soient forts, que l'armure soit forgée d'épaisseur et que les hommes se tiennent debout. Les ennemis sont les plus indésirables sur leurs terres.;Dieser Charakter hat befohlen, dass die Festhalten stark gemacht werden, die Rüstung, um dick zu werden und die Männer schnell zu stehen. Der Feind ist auf ihrem Land am meisten unerwünscht.;;Este personaje ha ordenado que se hagan fuertes, que las armaduras sean forjadas y que los hombres se mantengan firmes. El enemigo no es bienvenido en su tierra.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick;Storm war strategy;Stratégie de guerre des tempêtes;Sturmkriegstrategie;;Estrategia de guerra de tormenta;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick_desc;Soldiers travel light and the quartermasters stock few provisions, but this is no enforced shortage. The men are equipped and drilled for one purpose: to stike deep into enemy heartlands in one crushing blow.;Les Warriors voyagent de la lumière et les quartermasters stockent peu de provisions, mais ce n'est pas une pénurie forcée. Les hommes sont équipés et forés dans un seul but: incliner profondément dans les champs de l'ennemi en un seul coup écrasant.;Krieger reisen Licht und die Quartiermeister haben nur wenige Bestimmungen, aber das ist kein erzwungener Mangel. Die Männer sind ausgerüstet und gebohrt für einen Zweck: tief in feindliche Herzfälle in einem zerquetschenden Schlag zu treten.;;Los guerreros viajan ligeros y los quartermasters almacenan pocas provisiones, pero esto no es una escasez forzada. Los hombres están equipados y perforados para un propósito: penetrar profundamente en las tierras enemigas en un golpe aplastante.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition;Organised war strategy;Stratégie de guerre organisée;Organisierte Kriegsstrategie;;Estrategia de guerra organizada;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition_desc;This character has focussed their war efforts on supply logistics and siege readiness, in preparation for a war of attrition.;Ce personnage a concentré ses efforts de guerre sur la logistique de l'approvisionnement et la préparation au siège, en prévision d'une guerre d'attrition.;Dieser Charakter hat sich auf die Kriegsbemühungen auf die Angebotslogistik und die Belagerungsbereitschaft konzentriert, um einen Abrisskrieg vorzubereiten.;;Este personaje ha centrado sus esfuerzos de guerra en la logística de suministro y la preparación para el asedio, en preparación para una guerra de desgaste.;;;;;;;;;x;,,,,,,,,,,
### DECISIONS ###
robmodcombat_battlefield_position_first;Select your battlefield position;Sélectionnez votre position de champ de bataille;Wähle deine Schlachtfeldposition;;Seleccione su campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_first_desc;Although all rulers are expected to put their lives at risk by fighting with their men, there are many different positions one can take on the battlefield. Each holds different levels of risk and prestige.;Bien que tous les dirigeants puissent mettre leur vie en danger en se battant avec leurs hommes, il existe de nombreuses positions différentes sur le champ de bataille. Chacun détient différents niveaux de risque et de prestige.;Obwohl alle Herrscher erwartet werden, ihr Leben in Gefahr zu setzen, indem sie mit ihren Männern kämpfen, gibt es viele verschiedene Positionen, die man auf dem Schlachtfeld nehmen kann. Jeder hält unterschiedliche Risiko und Prestige.;;Aunque se espera que todos los gobernantes pongan en peligro sus vidas luchando con sus hombres, hay muchas posiciones diferentes que uno puede tomar en el campo de batalla. Cada uno tiene diferentes niveles de riesgo y prestigio.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_position_cooldown_tt;Has not been forced to change battlefield position in the last 5 years;N'a pas été contraint de changer la position du champ de bataille au cours des 5 dernières années.;In den letzten 5 Jahren ist es nicht gezwungen worden, die Schlachtfeldposition zu ändern.;;No se ha visto obligado a cambiar de posición en el campo de batalla en los últimos 5 años.;;;;;;;;;x;,,,,,,,,,,
set_battlefield_position_tt;Call in your commanders and notify them as to what position you will be taking up on the battlefield;Appelez vos commandants et informez-les de la position que vous occuperez sur le champ de bataille;Rufen Sie Ihre Kommandanten an und benachrichtigen Sie, welche Position Sie auf dem Schlachtfeld nehmen werden;;Llame a sus comandantes y notifíqueles en cuanto a qué posición usted tomará en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change;Change your battlefield position;Changez votre position de champ de bataille;Ändern Sie Ihre Schlachtfeldposition;;Cambia tu posición en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change_desc;You may change your position on the battlefield any time you are at war. Useful if for any reason you want to protect yourself from harm, or conversely improve your chances of gaining glory on the battlefield.;Vous pouvez changer votre position sur le champ de bataille à tout moment. Utile si, pour quelque raison que ce soit, vous voulez vous protéger du mal ou, à l'inverse, améliorer vos chances de gagner la gloire sur le champ de bataille.;Sie können jederzeit Ihre Position auf dem Schlachtfeld ändern. Nützlich, wenn aus irgendeinem Grund du dich vor Schaden schützen willst, oder umgekehrt deine Chancen auf den Ruhm auf dem Schlachtfeld zu verbessern.;;Usted puede cambiar su posición en el campo de batalla en cualquier momento. Útil si por cualquier razón usted quiere protegerse de daño, o por el contrario mejorar sus posibilidades de ganar gloria en el campo de batalla.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy;Set your war strategy;Définissez votre stratégie de guerre;Setze deine Kriegsstrategie ein;;Defina su estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_desc;Defining your war strategy outfits your troops and other military apparatus to best suit your current situation. The various options will confer certain benefits to your armies, but each also has drawbacks.;Vous pouvez changer votre stratégie de guerre pour mieux répondre à votre situation actuelle. Les différentes options conféreront certains avantages à vos armées, mais elles présentent également des inconvénients.;Sie können Ihre Kriegsstrategie ändern, um Ihrer aktuellen Situation am besten zu entsprechen. Die verschiedenen Optionen verleihen Ihren Armeen gewisse Vorteile, aber jeder hat auch Nachteile.;;Puede cambiar su estrategia de guerra para que se adapte mejor a su situación actual. Las diversas opciones confieren ciertos beneficios a sus ejércitos, pero cada uno también tiene inconvenientes.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_cooldown_tt;Has NOT changed war stategy in the last year;N'a PAS changé la stratégie de guerre au cours de la dernière année;Hat im letzten Jahr die Kriegsstrategie nicht geändert;;NO ha cambiado la estrategia de guerra en el último año;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_liege_tt;Has NOT had your current war strategy set by your liege;N'a PAS eu votre stratégie de guerre fixée par votre liege;Hatte NICHT Ihre Kriegsstrategie von deinem Lied gesetzt;;NO ha tenido su estrategia de guerra establecida por su señor;;;;;;;;;x;,,,,,,,,,,
set_war_strategy_tt;Call in your commanders to discuss the war strategy;Appelez vos commandants pour discuter de la stratégie de guerre;Rufen Sie in Ihren Kommandanten auf, um die Kriegsstrategie zu besprechen;;Llame a sus comandantes para discutir la estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
### NICKNAMES ###
nick_the_warrior;the Warrior;le Guerrier;der Krieger;;el Guerrero;;;;;x
nick_swordarm;Sword-Arm;Bras à l'Épée;Schwertarm;;Brazo de Espada;;;;;x
nick_weakarm;Weak-Arm;Bras Faible;Schwacharm;;Brazo Débil;;;;;x
nick_the_leader;War-Leader;Chef de Guerre;Kriegsführer;;Líder de Guerra;;;;;x
nick_the_afraid;the Coward;le Lâche;der Feigling;;el cobarde;;;;;x
nick_the_timid;the Timid;le Timide;die Schüchterne;;el Tímido;;;;;x
### MODIFIERS ###
# CHARACTER #
robmodcombat_inspired_men;Inspirational charge;Charge inspiratoire;Inspirationsgebühr;;Carga inspiradora;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10014_WOUND;A lull descends on the battlefield as your sword meets [From.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your defence, your opponent lunges expertly. Caught offguard, you cry in pain as steel meet flesh. Wounded badly, you yield as [From.GetFirstName]'s men cheer.;Une accalmie descend sur le champ de bataille à mesure que votre épée rencontre [From.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans votre défense, votre adversaire s'habille avec compétence. Enlevé de la garde, vous pleurez de douleur à mesure que l'acier rencontre la chair. Blessé mal, vous rendez le nom de [From.GetFirstName].;Eine Latte steigt auf dem Schlachtfeld, als dein Schwert trifft [From.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber wenn du eine Schwäche in deiner Verteidigung wirst, verlängert dein Gegner fachmännisch. Gefangener Schutz, Sie weinen in Schmerzen, wie Stahl Fleisch treffen. Verwundet schlecht, du gibst als [From.GetFirstName] die Männer jubeln.;;Una lula desciende en el campo de batalla como su espada se encuentra con [From.GetFirstName] y los que están cerca de la lucha para ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero detectando una debilidad en su defensa, su oponente se agarra expertamente. Atrapado fuera de guardia, lloras de dolor como acero encuentro carne. Herido mal, cedes como los hombres de [From.GetFirstName].;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10014_MAIM;A lull descends on the battlefield as your sword meets [From.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your defence, your opponent lunges expertly, causing grevious damage! The fight is over.;Une accalmie descend sur le champ de bataille à mesure que votre épée rencontre [From.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais en repérant une faiblesse dans votre défense, votre adversaire s'habille avec compétence, causant des dégâts noirs! La lutte est terminée.;Eine Latte steigt auf dem Schlachtfeld, als dein Schwert trifft [From.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber wenn du eine Schwäche in deiner Verteidigung wirfst, verlängert dein Gegner fachmännisch und verursacht einen klaren Schaden! Der Kampf ist vorbei.;;Una lula desciende en el campo de batalla como su espada se encuentra con [From.GetFirstName] y los que están cerca de la lucha para ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero descubriendo una debilidad en su defensa, su oponente se agarra de manera experta, causando daños nocivos. La pelea ha terminado.;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10014_KILLED;A lull descends on the battlefield as your sword meets [From.GetFirstName]'s and those nearby fighting stop to watch. The fighting is fierce, and for a while you are even, both trading blows and holding your ground. But spotting a weakness in your defence, your opponent lunges expertly, and as steel meets flesh you know instantly you have suffered a mortal wound.;Une accalmie descend sur le champ de bataille à mesure que votre épée rencontre [From.GetFirstName] et les arrêts de combat à proximité pour regarder. Les combats sont féroces, et pendant un certain temps, vous êtes même, tous deux des coups de commerce et le maintien de votre terrain. Mais voyant une faiblesse dans votre défense, votre adversaire s'habille spécialement et, comme l'acier rencontre la chair, vous savez instantanément que vous avez subi une blessure mortelle.;Eine Latte steigt auf dem Schlachtfeld, als dein Schwert trifft [From.GetFirstName] 's und die in der Nähe kämpfen stoppen zu beobachten. Die Kämpfe sind heftig, und für eine Weile sind Sie sogar, beide handeln Schläge und halten Sie Ihren Boden. Aber wenn du eine Schwäche in deiner Verteidigung wirfst, verlängert dein Gegner fachmännisch, und als Stahl trifft Fleisch, das du sofort kennst, hast du eine sterbliche Wunde erlitten;;Una lula desciende en el campo de batalla como su espada se encuentra con [From.GetFirstName] y los que están cerca de la lucha para ver. La pelea es feroz, y durante un tiempo estás en equilibrio, tanto por los golpes comerciales como por mantener tu terreno. Pero descubriendo una debilidad en su defensa, su oponente se agarra expertamente, y como el acero se encuentra con la carne, usted sabe instantáneamente que ha sufrido una herida mortal.;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10014;"I am your prisoner, [From.GetTitledFirstName].";"Je suis votre prisonnier, [From.GetTitledFirstName].";"Ich bin dein Gefangener, [From.GetTitledFirstName].";;"Soy tu prisionero, [From.GetTitledFirstName]".;;;;;;;;;x
EVTOPTB_ROBMODCOMBAT_10014;"It's just a fleshwound!"... *collapses in a pool of blood*;"C'est juste un mouvement de chair!"... *s'effondre dans un bassin de sang*;"Es ist nur ein Fleischhund!"... *kollabiert in einem Pool von Blut*;;"¡Es sólo un bicho de carne!"... *colapsa en un charco de sangre*;;;;;;;;;x
EVTOPTC_ROBMODCOMBAT_10014;A glorious death...;Une mort glorieuse ...;Ein herrlicher Tod ...;;Una muerte gloriosa ...;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10016;Ah, the thrill of battle! The stresses of rulership feel insignificant when I have a sword in my hand and an enemy to fight. And - [Root.Religion.GetHighGodName] forgive me - I can't help but enjoy the slaying of my enemies too.;Ah, le frisson de la bataille! Le stress du gouvernement se révèle insignifiant quand j'ai une épée dans la main et un ennemi pour me battre. Et - [Root.Religion.GetHighGodName] pardonne-moi - je ne peux pas m'empêcher d'apprécier le meurtre de mes ennemis aussi.;Ah, der Nervenkitzel der Schlacht! Die Stress der Herrschaft fühlen sich unwesentlich, wenn ich ein Schwert in meiner Hand und einen Feind zu kämpfen habe. Und - [Root.Religion.GetHighGodName] verzeihen Sie mir - ich kann nicht umhin, das Töten meiner Feinde zu genießen.;;¡Ah, la emoción de la batalla! Las tensiones del gobierno se sienten insignificantes cuando tengo una espada en la mano y un enemigo para luchar. Y - [Root.Religion.GetHighGodName] perdóname - no puedo evitar disfrutar de la matanza de mis enemigos también.;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_10016;I've never felt so alive as when I'm killing others!;Je ne me suis jamais senti tellement vivant que lorsque je tue les autres!;Ich habe mich noch nie so lebendig gefühlt wie wenn ich andere töte!;;¡Nunca me he sentido tan vivo como cuando estoy matando a otros!;;;;;;;;;x;,,,,,,,,,,
EVTOPTB_ROBMODCOMBAT_10016;I should not take pleasure in dealing death.;Je ne devrais pas prendre plaisir à traiter la mort.;Ich würde mich nicht freuen, den Tod zu behandeln.;;No debería tener placer en tratar la muerte.;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10017;Ah, the thrill of battle! The dark cloud of depression dissipates instantly when I have a sword in my hand and an enemy to fight. And - [Root.Religion.GetHighGodName] forgive me - I can't help but enjoy the slaying of my enemies too.;Ah, le frisson de la bataille! Le stress du gouvernement se révèle insignifiant quand j'ai une épée dans la main et un ennemi pour me battre. Et - [Root.Religion.GetHighGodName] pardonne-moi - je ne peux pas m'empêcher d'apprécier le meurtre de mes ennemis aussi.;Ah, der Nervenkitzel der Schlacht! Die Stress der Herrschaft fühlen sich unwesentlich, wenn ich ein Schwert in meiner Hand und einen Feind zu kämpfen habe. Und - [Root.Religion.GetHighGodName] verzeihen Sie mir - ich kann nicht umhin, das Töten meiner Feinde zu genießen.;;¡Ah, la emoción de la batalla! Las tensiones del gobierno se sienten insignificantes cuando tengo una espada en la mano y un enemigo para luchar. Y - [Root.Religion.GetHighGodName] perdóname - no puedo evitar disfrutar de la matanza de mis enemigos también.;;;;;;;;;x;,,,,,,,,,,
# BATTLEFIELD POSITION EVENTS #
EVTDESC_ROBMODCOMBAT_20001;You have summoned your commanders to the war table to discuss battlefield tactics, and may now inform them where you will station yourself during combat. Fighting further forward grants a greater chance of gaining glory and respect, but also increases the risk of being injured, killed or captured. (This can be amended again whenever you are at war. What positions are available to you depends upon your traits).;Vos commandants sont arrivés et peuvent maintenant choisir où vous vous arrêterez sur le champ de bataille. Vous êtes plus susceptible de gagner la gloire et le respect de vos hommes en luttant plus loin, mais aussi plus susceptibles de mourir, d'être blessés ou capturés. (Cela peut être modifié plus tard. Quels sont les postes à votre disposition dépend de vos traits.);Deine Kommandanten sind angekommen und können nun wählen, wo du dich auf dem Schlachtfeld ablegen wirst. Sie sind wahrscheinlicher, Ruhm und den Respekt Ihrer Männer zu gewinnen, indem sie weiter vorwärts kämpfen, aber auch eher sterben oder verletzt oder gefangen werden. (Dies kann später geändert werden. Welche Positionen stehen Ihnen zur Verfügung, hängt von Ihren Zügen ab.);;Sus comandantes han llegado, y ahora pueden elegir dónde se colocarán en el campo de batalla. Es más probable que gane gloria y el respeto de sus hombres luchando más adelante, pero también más probabilidades de morir, o ser herido o capturado. (Esto puede ser modificado más tarde.) Las posiciones disponibles dependen de sus rasgos.;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20001;"You will find me in the vanguard, where the fighting is fiercest!";Je serai à l'avant-garde, où les combats sont les plus féroces!;Ich werde in der Vorhut sein, wo die Kämpfe am stärksten sind!;;Estaré en la vanguardia, donde la lucha es más feroz.;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPA_ROBMODCOMBAT_20001;You will be the first in every charge, granting a greater chance of distinguishing yourself. However, the vanguard is the most dangerous position on the battlefield, and you should be confident in your combat abilities;Vous serez le premier à chaque charge, ce qui vous donnera plus de chance de vous distinguer. Cependant, l'avant-garde est la position la plus dangereuse sur le champ de bataille, et vous devriez être confiant dans vos capacités de combat;Du wirst der erste in der Ladung sein und dir eine größere Chance geben, dich zu unterscheiden. Allerdings ist die Vorhut die gefährlichste Position auf dem Schlachtfeld, und Sie sollten zuversichtlich in Ihren Kampffähigkeiten sein;;Serás el primero en todos los cargos, otorgándole una mayor posibilidad de diferenciarse. Sin embargo, la vanguardia es la posición más peligrosa en el campo de batalla, y usted debe tener confianza en sus habilidades de combate;;;;;;;;;x;,,,,,,,,,,
EVTOPTB_ROBMODCOMBAT_20001;"I will lead my men from the front.";Je conduirai mes hommes du front.;Ich werde meine Männer von vorne führen.;;Voy a guiar a mis hombres desde el frente.;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPB_ROBMODCOMBAT_20001;This is the default and expected station for a ruler on the battlefield. Your chances of gaining glory or coming to harm will be balanced;C'est la position par défaut et la position prévue pour toute règle. Vos chances de gagner la gloire ou de nuire seront équilibrées;Dies ist die Standard- und die erwartete Position für jedes Lineal. Ihre Chancen, Ruhm zu gewinnen oder zu Schaden zu kommen, werden ausgeglichen;;Esta es la posición predeterminada y esperada para cualquier regla. Sus posibilidades de ganar la gloria o llegar a dañar será equilibrada;;;;;;;;;x;,,,,,,,,,,
EVTOPTC_ROBMODCOMBAT_20001;"My guard and I will be just behind the front line.";"Ma garde et moi serons juste derrière la ligne de front.";"Meine Wachen und ich sind gleich hinter der Front.";;Mis guardias y yo estaremos detrás de la línea de frente.;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPC_ROBMODCOMBAT_20001;Surround yourself with guards and engage the enemy only when necessary. Your men will not be impressed, but you will be less likely to come to harm;Entourez-vous des gardes et engagez l'ennemi uniquement lorsque cela est nécessaire. Vos hommes ne seront pas impressionnés, mais vous allez moins se blesser;Umgeben Sie sich mit Wachen und engagieren Sie den Feind nur, wenn nötig. Ihre Männer werden nicht beeindruckt sein, aber Sie werden weniger wahrscheinlich zu Schaden kommen;;Rodéate de guardias y atacar al enemigo sólo cuando sea necesario. Sus hombres no se sentirán impresionados, pero usted será menos probable que vienen a dañar;;;;;;;;;x;,,,,,,,,,,
EVTOPTD_ROBMODCOMBAT_20001;"I will take a more.. tactical position at the rear. Or on a hill.";"Je vais prendre une position tactique plus à l'arrière, ou sur une colline".;"Ich werde eine taktischere Position auf der Rückseite nehmen, oder auf einem Hügel.";;"Tomaré una posición más táctica en la parte trasera, o en una colina.";;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPD_ROBMODCOMBAT_20001;Avoid combat if at all possible. You will be unlikely to come to harm, but your men will feel your absence keenly - nobody likes a coward for a leader;Évitez le combat si possible. Vous ne risquez pas de nuire, mais vos hommes ressentiront votre absence avec enthousiasme - personne n'aime un lâche pour un chef;Vermeide den Kampf, wenn überhaupt möglich. Du wirst es unwahrscheinlich sein, dass du Schaden zufügst, aber deine Männer werden deine Abwesenheit scharf fühlen - niemand mag einen Feigling für einen Führer;;Evite el combate si es posible. Es poco probable que vengas a hacer daño, pero tus hombres sentirán tu ausencia agudamente - a nadie le gusta un cobarde por un líder;;;;;;;;;x;,,,,,,,,,,
EVTOPTE_ROBMODCOMBAT_20001;I've changed my mind, I'll keep my current position.;J'ai changé d'avis, je garderai mon poste actuel.;Ich habe meine Meinung geändert, ich werde meine aktuelle Position behalten.;;Ich habe meine Meinung geändert, ich werde meine aktuelle Position behalten.;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPE_ROBMODCOMBAT_20001;Your current position is:;Votre position actuelle est:;Ihre aktuelle Position ist:;;Tu posición actual es:;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPE_ROBMODCOMBAT_20001_VAN;- in the vanguard;- à l'avant-garde;- in der Vorhut;;- en la vanguardia;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPE_ROBMODCOMBAT_20001_FRONT;- at the front;- devant;- vorne;;- en la parte delantera;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPE_ROBMODCOMBAT_20001_MIDDLE;- behind the frontline;- derrière la ligne de front;- hinter der Frontlinie;;- detrás de la línea de frente;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPE_ROBMODCOMBAT_20001_REAR;- at the rear;- à l'arrière;- hinten;;- en la parte de atrás;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20002;You long to prove your bravery in battle against [From.GetTitledFirstName], but always find yourself too far from the real action. Abandoning the position you chose for yourself, you urge your horse to where the fighting is fiercest.;Vous souhaitez prouver votre bravoure dans le combat contre [From.GetTitledFirstName], mais toujours vous-même loin de l'action réelle. En abandonnant le poste que vous choisissez pour vous-même, vous insistez sur votre cheval où les combats sont les plus féroces.;Sie haben lange, um Ihre Tapferkeit im Kampf gegen [From.GetTitledFirstName] zu beweisen, aber immer finden Sie sich zu weit von der wirklichen Aktion. Verlassen Sie die Position, die Sie für sich selbst gewählt haben, bitten Sie Ihr Pferd, wo die Kämpfe am stärksten sind.;;Deseas probar tu valentía en la batalla contra [From.GetTitledFirstName], pero siempre te encuentras demasiado lejos de la acción real. Abandonando la posición que usted eligió para sí mismo, usted urge a su caballo a donde la lucha es más feroz.;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20002;I must be in the vanguard!;Je dois être à l'avant-garde!;Ich muss in der Vorhut sein!;;¡Debo estar en la vanguardia!;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPA_ROBMODCOMBAT_20002;Your character's bravery has overcome [Root.GetHerHim] - [Root.GetSheHe] just can't help but live dangerously. You will be unable to change your battlefield position again for 5 years;La bravoure de votre personnage a surmonté [Root.GetHerHim] - [Root.GetSheHe] ne peut qu'empêcher de vivre dangereusement. Vous ne pourrez plus changer votre position de champ de bataille pendant 5 ans;Die Tapferkeit deines Charakters hat überwunden [Root.GetHerHim] - [Root.GetSheHe] kann einfach nicht umhin, gefährlich zu leben. Sie können Ihre Schlachtfeldposition nicht länger als 5 Jahre ändern;;La valentía de tu personaje ha superado [Root.GetHerHim] - [Root.GetSheHe] simplemente no puede evitar vivir peligrosamente. Usted no podrá cambiar su posición en el campo de batalla nuevamente por 5 años;;;;;;;;;x;,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_20003;This battle against [From.GetTitledFirstName] is terrifying! And surely I'd be able to command my men better if I took up a more... tactical... position on that hill behind my men? I could see the whole battlefield from there.;Cette bataille contre [From.GetTitledFirstName] est terrifiante! Et sûrement, je pourrais mieux commander mes hommes si j'ai pris une position plus ... tactique ... sur cette colline derrière mes hommes? Ce n'est pas une lâcheté, c'est du bon sens.;Dieser Kampf gegen [From.GetTitledFirstName] ist schrecklich! Und sicherlich würde ich in der Lage sein, meine Männer besser zu befehlen, wenn ich eine mehr ... taktische ... Position auf dem Hügel hinter meinen Männern aufnahm? Es ist nicht Feigheit, es ist nur gesunder Menschenverstand.;;Esta batalla contra [From.GetTitledFirstName] es aterradora! Y seguramente sería capaz de mandar a mis hombres mejor si tomara una posición ... más táctica en esa colina detrás de mis hombres. No es cobardía, es sólo sentido común.;;;;;;;;;x;,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_20003;It's not cowardice, it's just common sense. Honest!;Je pouvais voir tout le champ de bataille à partir de là.;Ich konnte das ganze Schlachtfeld von dort aus sehen.;;Podía ver todo el campo de batalla desde allí.;;;;;;;;;x;,,,,,,,,,,
EVTTOOLTIPA_ROBMODCOMBAT_20003;Your character's craven nature has overcome [Root.GetHerHim]. You will be unable to change your battlefield position for 5 years;La nature crainte de votre personnage a surmonté [Root.GetHerHim]. Vous ne pourrez pas changer votre position de champ de bataille pendant 5 ans;Die Charaktere des Charakters hat sich bewundert [Root.GetHerHim]. Sie können Ihre Schlachtfeldposition für 5 Jahre nicht ändern;;La naturaleza cobarde de tu personaje ha superado [Root.GetHerHim]. No podrá cambiar su posición en el campo de batalla durante 5 años;;;;;;;;;x;,,,,,,,,,,
